OID_,Site,Latitude,Longitude,Site_1,RASTERVALU
0,Site01,34.017069999999997,-118.288679999999999,Site01,60
1,Site03,34.033999999999999,-118.281000000000006,Site03,59
2,Site04,34.118000000000002,-118.284000000000006,Site04,221
3,Site05,34.093000000000004,-118.274000000000001,Site05,165
4,Site06,34.116000000000000,-118.278999999999996,Site06,196
5,Site07,34.101889999999997,-118.256580000000000,Site07,166
6,Site08,34.030000000000001,-118.326999999999998,Site08,43
7,Site09,34.103000000000002,-118.242999999999995,Site09,108
8,Site10,34.014000000000003,-118.320999999999998,Site10,41
9,Site11,34.072000000000003,-118.290999999999997,Site11,86
10,Site12,34.046999999999997,-118.334000000000003,Site12,53
11,Site13,34.149000000000001,-118.218000000000004,Site13,270
12,Site14,34.078000000000003,-118.233999999999995,Site14,145
13,Site15,33.875999999999998,-118.287999999999997,Site15,4
14,Site16,34.094999999999999,-118.334000000000003,Site16,100
15,Site17,34.158999999999999,-118.247000000000000,Site17,193
16,Site18,34.076999999999998,-118.319999999999993,Site18,77
17,Site19,34.058999999999997,-118.369000000000000,Site19,44
18,Site20,34.112000000000002,-118.293000000000006,Site20,169
19,Site21,34.170000000000002,-118.308000000000007,Site21,159
20,Site22,34.073999999999998,-118.263999999999996,Site22,137
21,Site23,34.113999999999997,-118.251000000000005,Site23,118
22,Site24,34.136000000000003,-118.194000000000003,Site24,216
23,Site25,34.045999999999999,-118.275000000000006,Site25,70
24,Site26,34.058000000000000,-118.328000000000003,Site26,62
25,Site27,34.110999999999997,-118.230000000000004,Site27,177
26,Site28,34.128999999999998,-118.215000000000003,Site28,162
27,Site29,34.122999999999998,-118.192999999999998,Site29,209
28,Site30,34.125000000000000,-118.188999999999993,Site30,226
29,Site31,34.075000000000003,-118.328000000000003,Site31,75
30,Site32,34.020809999999997,-118.488699999999994,Site32,36
31,Site33,34.162080000000003,-118.117519999999999,Site33,286
32,Site34,34.049599999999998,-118.107900000000001,Site34,136
33,Site35,34.158029999999997,-117.999269999999996,Site35,217
34,Site36,34.086060000000003,-117.821539999999999,Site36,291
35,Site37,34.089419999999997,-117.711089999999999,Site37,344
36,Site38,34.139189999999999,-117.520960000000002,Site38,453
37,Site39,34.023380000000003,-117.315230000000000,Site39,320
38,Site40,33.924799999999998,-118.424740000000000,Site40,38
39,Site41,33.884309999999999,-118.286630000000002,Site41,14
40,Site42,33.841880000000003,-118.100549999999998,Site42,13
41,Site43,33.914290000000001,-118.005020000000002,Site43,65
42,Site44,33.997830000000000,-117.842320000000001,Site44,196
43,Site45,34.002749999999999,-117.734049999999996,Site45,228
44,Site46,33.912010000000002,-117.570179999999993,Site46,179
45,Site47,33.983849999999997,-117.313419999999994,Site47,377
46,Site48,34.167000000000002,-118.513000000000005,Site48,244
47,Site49,34.259999999999998,-118.600999999999999,Site49,303
48,Site50,34.164999999999999,-118.322999999999993,Site50,167
49,Site51,33.985999999999997,-118.341999999999999,Site51,67
50,Site52,34.136000000000003,-118.247000000000000,Site52,155
51,Site53,34.143000000000001,-118.463999999999999,Site53,305
52,Site54,34.226999999999997,-118.609999999999999,Site54,286
53,Site55,33.871180000000003,-118.331000000000003,Site55,21
54,Site56,33.954000000000001,-118.290000000000006,Site56,44
55,Site57,34.170999999999999,-118.397999999999996,Site57,201
56,Site58,34.015999999999998,-118.326999999999998,Site58,37
57,Site59,33.932000000000002,-118.259000000000000,Site59,36
58,Site60,34.247000000000000,-118.507999999999996,Site60,285
59,Site61,34.244000000000000,-118.578999999999994,Site61,274
60,Site62,34.162999999999997,-118.355999999999995,Site62,180
61,Site63,33.950000000000003,-118.183999999999997,Site63,32
