"Longitude","Latitude","Site","distance_natural"
-118.28868,34.01707,"Site01",2705.56566001413
-118.281,34.034,"Site03",3290.35890869483
-118.284,34.118,"Site04",85.9091469574303
-118.274,34.093,"Site05",1182.73915298351
-118.279,34.116,"Site06",575.619992594661
-118.25658,34.10189,"Site07",491.104749000347
-118.327,34.03,"Site08",2312.56334802453
-118.243,34.103,"Site09",100.01456601384
-118.321,34.014,"Site10",2541.81939136769
-118.291,34.072,"Site11",2752.48433972188
-118.334,34.047,"Site12",3152.55092901659
-118.218,34.149,"Site13",342.540973540534
-118.234,34.078,"Site14",9.58665744691084
-118.288,33.876,"Site15",1678.82206968613
-118.334,34.095,"Site16",2014.29665970627
-118.247,34.159,"Site17",2045.2485576148
-118.32,34.077,"Site18",3526.20967685866
-118.369,34.059,"Site19",897.661165716506
-118.293,34.112,"Site20",593.251450365845
-118.308,34.17,"Site21",853.511273482294
-118.264,34.074,"Site22",752.972505227751
-118.251,34.114,"Site23",468.932725107739
-118.194,34.136,"Site24",807.981506952137
-118.275,34.046,"Site25",1014.29775513851
-118.328,34.058,"Site26",2780.31328965008
-118.23,34.111,"Site27",286.186233937518
-118.215,34.129,"Site28",1813.11303396223
-118.193,34.123,"Site29",1782.30803770034
-118.189,34.125,"Site30",1299.80736264243
-118.328,34.075,"Site31",2529.09156788503
-118.28868,34.01707,"Site01",2705.56566001413
-118.25658,34.10189,"Site07",491.104749000347
-118.4887,34.02081,"Site32",1218.78513376168
-118.11752,34.16208,"Site33",1700.07814738965
-118.1079,34.0496,"Site34",872.381210398621
-117.99927,34.15803,"Site35",941.941384796609
-117.82154,34.08606,"Site36",80.9816077578349
-117.71109,34.08942,"Site37",1532.04630368439
-117.52096,34.13919,"Site38",1955.97178614991
-117.31523,34.02338,"Site39",1347.12667243677
-118.42474,33.9248,"Site40",805.63468295992
-118.28663,33.88431,"Site41",2835.47201135411
-118.10055,33.84188,"Site42",58.4278970922689
-118.00502,33.91429,"Site43",645.299188357065
-117.84232,33.99783,"Site44",2136.73103031841
-117.73405,34.00275,"Site45",91.5553524019958
-117.57018,33.91201,"Site46",2061.15396995136
-117.31342,33.98385,"Site47",294.584961630819
-118.28868,34.01707,"Site01",2705.56566001413
-118.257,34.102,"Site07",491.104749000347
-118.513,34.167,"Site48",877.791105442014
-118.601,34.26,"Site49",1380.11530430445
-118.323,34.165,"Site50",1416.0372797968
-118.342,33.986,"Site51",1329.76090880366
-118.247,34.136,"Site52",2850.29791329767
-118.464,34.143,"Site53",731.361299291027
-118.61,34.227,"Site54",348.915872205798
-118.331,33.87118,"Site55",1450.99989911814
-118.29,33.954,"Site56",2619.43471476091
-118.398,34.171,"Site57",880.632790258624
-118.327,34.016,"Site58",1726.1886248926
-118.259,33.932,"Site59",1113.43486339303
-118.508,34.247,"Site60",2274.52429734478
-118.579,34.244,"Site61",1615.06204729028
-118.356,34.163,"Site62",2386.26626572903
-118.184,33.95,"Site63",284.986189315012
