"Site","weighted_avarage_land_V"
"Site01",806243.69161545
"Site03",1471946.55725699
"Site04",769063.338208552
"Site05",509098.853267675
"Site06",1646845.37625475
"Site07",591124.358361755
"Site08",443107.677751255
"Site09",374878.816550279
"Site10",300525.782099248
"Site11",1280885.48335347
"Site12",495808.248281013
"Site13",476655.594246679
"Site14",317164.001778461
"Site15",176240.857664859
"Site16",986388.01103119
"Site17",324880.44255767
"Site18",1042757.27897628
"Site19",781017.068390523
"Site20",1086474.69097915
"Site21",537561.204371129
"Site22",466917.428371157
"Site23",451574.134759479
"Site24",399339.576228974
"Site25",767879.367799873
"Site26",1115347.93428996
"Site27",340381.855087149
"Site28",419371.459572843
"Site29",347061.009590785
"Site30",411374.45608458
"Site31",1184057.07748079
"Site32",893579.122416478
"Site33",463307.256920463
"Site34",384894.003630245
"Site35",583910.512213826
"Site36",333280.503171617
"Site37",351046.911788883
"Site38",473777.824685969
"Site39",361723.626232696
"Site40",455716.991173917
"Site41",307164.256072784
"Site42",372586.407642595
"Site43",372925.889594245
"Site44",779923.292941928
"Site45",817406.270620477
"Site48",283570.291853548
"Site49",244277.015421439
"Site50",495121.309025315
"Site51",334725.182421112
"Site52",406597.189575773
"Site53",808767.767082159
"Site54",489796.967531097
"Site55",392438.326531535
"Site56",286771.983181964
"Site57",581263.871022958
"Site58",459900.847708687
"Site59",181893.313028049
"Site60",456984.365292526
"Site61",2575253.53109387
"Site62",548839.11722421
"Site63",272140.464283788
